FIPS,County,State,Country,County and State,Lat,Long,Confirmed,Deaths,Active,Avg Household Size,Avg Number of Children per Household,Avg Number of Adults per Household,Total Population 65 and Older,Total Number of Workers 16 Years Old and Over,Percent of Workers Using Public Transport,Total Population,Total Population White,Percent of Population White,Total Population African American or Black,Percent of Population African American or Black,Total Population American Indian or Alaskan Native,Percent of Population American Indian or Alaskan Native,Total Population Asian,Percent of Population Asian,Total Population Native Hawaiian and Pacific Islander,Percent of Population Native Hawaiian and Pacific Islander
48355,Nueces,Texas,US,"Nueces County, Texas",27.736286,-97.5433285,59,0,0,2.68,0.71,1.98,49345,163788,1.3,362265,327726,0.9047,13856,0.0382,1243,0.0034,7916,0.0219,359,0.001
48361,Orange,Texas,US,"Orange County, Texas",30.11879481,-93.89412775,22,0,0,2.62,0.66,1.96,12906,36355,0.4,83572,72848,0.8717,7777,0.0931,140,0.0017,1102,0.0132,0,0
48367,Parker,Texas,US,"Parker County, Texas",32.77757172,-97.80500621,6,0,0,2.71,0.71,2,19539,59408,0.1,138371,129550,0.9363,2231,0.0161,1662,0.012,1063,0.0077,227,0.0016
48375,Potter,Texas,US,"Potter County, Texas",35.40133773,-101.893964,40,1,0,2.66,0.78,1.88,14411,52046,0.6,119648,92101,0.7698,12544,0.1048,1412,0.0118,7117,0.0595,175,0.0015
48381,Randall,Texas,US,"Randall County, Texas",34.96585996,-101.8971322,36,1,0,2.47,0.62,1.85,18914,69233,0.3,136271,123349,0.9052,4097,0.0301,612,0.0045,2382,0.0175,578,0.0042
48397,Rockwall,Texas,US,"Rockwall County, Texas",32.89779518,-96.40771592,10,0,0,2.94,0.89,2.05,11091,45523,0.8,100657,84966,0.8441,6688,0.0664,455,0.0045,2115,0.021,0,0
48409,San Patricio,Texas,US,"San Patricio County, Texas",28.00880118,-97.51763891,2,0,0,2.83,0.8,2.03,9623,28654,0.1,66893,61983,0.9266,1093,0.0163,0,0,521,0.0078,223,0.0033
48423,Smith,Texas,US,"Smith County, Texas",32.37474036,-95.2717568,62,2,0,2.6,0.68,1.92,35671,97783,0.3,230221,176394,0.7662,39113,0.1699,1010,0.0044,4321,0.0188,227,0.001
48439,Tarrant,Texas,US,"Tarrant County, Texas",32.77143818,-97.29101614,452,13,0,2.72,0.77,1.95,216591,981321,0.6,2084931,1364270,0.6543,346559,0.1662,15792,0.0076,116257,0.0558,3301,0.0016
48441,Taylor,Texas,US,"Taylor County, Texas",32.30163422,-99.89007449,31,1,0,2.49,0.63,1.86,19155,65972,0.6,137640,103087,0.749,11063,0.0804,610,0.0044,3726,0.0271,27,0.0002
48451,Tom Green,Texas,US,"Tom Green County, Texas",31.40464436,-100.462443,24,0,0,2.48,0.61,1.87,17461,56180,0.2,118189,105457,0.8923,4564,0.0386,534,0.0045,1917,0.0162,7,0.0001
48453,Travis,Texas,US,"Travis County, Texas",30.33432034,-97.7853562,502,6,0,2.48,0.6,1.87,110350,656028,3.1,1248743,890260,0.7129,104157,0.0834,11372,0.0091,87182,0.0698,422,0.0003
48469,Victoria,Texas,US,"Victoria County, Texas",28.79780988,-96.96813006,35,0,0,2.65,0.71,1.94,14171,41960,0.9,92035,80205,0.8715,5534,0.0601,167,0.0018,1285,0.014,24,0.0003
48479,Webb,Texas,US,"Webb County, Texas",27.7610369,-99.33237355,122,6,0,3.68,1.31,2.37,24386,104987,1.1,275910,265995,0.9641,1606,0.0058,116,0.0004,1591,0.0058,0,0
48485,Wichita,Texas,US,"Wichita County, Texas",33.98842886,-98.7041034,47,0,0,2.44,0.62,1.82,18676,59970,0.5,132064,103422,0.7831,14383,0.1089,1287,0.0097,3261,0.0247,0,0
48491,Williamson,Texas,US,"Williamson County, Texas",30.64655664,-97.6004854,77,2,0,2.74,0.79,1.94,60686,262823,0.8,566719,448811,0.7919,37637,0.0664,1030,0.0018,39003,0.0688,642,0.0011
48497,Wise,Texas,US,"Wise County, Texas",33.21570665,-97.65460265,3,0,0,2.77,0.73,2.04,9502,28488,0.2,68305,62215,0.9108,1686,0.0247,325,0.0048,31,0.0005,65,0.001
49005,Cache,Utah,US,"Cache County, Utah",41.72330587,-111.7443667,22,0,0,3.14,1.02,2.12,10808,58265,2.1,127068,115743,0.9109,991,0.0078,552,0.0043,2872,0.0226,541,0.0043
49011,Davis,Utah,US,"Davis County, Utah",40.99001837,-112.1139997,154,2,0,3.24,1.12,2.12,32621,158992,2.3,351713,321081,0.9129,5418,0.0154,1583,0.0045,6322,0.018,2413,0.0069
49035,Salt Lake,Utah,US,"Salt Lake County, Utah",40.66616532,-111.9216011,777,7,0,2.96,0.87,2.09,114930,569309,3.8,1152633,888588,0.7709,23220,0.0201,9747,0.0085,48833,0.0424,17161,0.0149
49045,Tooele,Utah,US,"Tooele County, Utah",40.44862644,-113.1295715,22,0,0,3.22,1.17,2.05,5833,28546,1.5,69907,61202,0.8755,145,0.0021,924,0.0132,852,0.0122,0,0
49049,Utah,Utah,US,"Utah County, Utah",40.1166722,-111.6657662,223,2,0,3.57,1.29,2.29,43689,264911,2.1,622213,566165,0.9099,3569,0.0057,2898,0.0047,9186,0.0148,6221,0.01
49053,Washington,Utah,US,"Washington County, Utah",37.28003525,-113.504698,26,1,0,2.94,0.89,2.05,32828,64128,0.5,171700,157786,0.919,1160,0.0068,2589,0.0151,1926,0.0112,921,0.0054
49053,Washington County,Utah,US,"Washington County, Utah",37.3225,-113.4776,5,0,0,2.94,0.89,2.05,32828,64128,0.5,171700,157786,0.919,1160,0.0068,2589,0.0151,1926,0.0112,921,0.0054
50007,Chittenden,Vermont,US,"Chittenden County, Vermont",44.46322849,-73.08359212,285,4,0,2.37,0.5,1.87,22828,89297,2.6,164572,147841,0.8983,3539,0.0215,232,0.0014,8030,0.0488,0,0
51003,Albemarle,Virginia,US,"Albemarle County, Virginia",38.02080697,-78.55481085,34,0,0,2.41,0.56,1.86,18447,51211,2.3,108718,89521,0.8234,10359,0.0953,515,0.0047,5990,0.0551,0,0
51013,Arlington,Virginia,US,"Arlington County, Virginia",38.8767675,-77.10139853,203,2,0,2.09,0.33,1.76,23483,146937,26.5,237521,165900,0.6985,21345,0.0899,1341,0.0056,23125,0.0974,717,0.003
51041,Chesterfield,Virginia,US,"Chesterfield County, Virginia",37.37373208,-77.5868014,108,0,0,2.69,0.71,1.98,47282,171257,0.5,348556,233945,0.6712,82884,0.2378,1369,0.0039,11713,0.0336,0,0
51059,Fairfax,Virginia,US,"Fairfax County, Virginia",38.83677558,-77.27565836,488,2,0,2.74,0.67,2.07,144212,610395,9.7,1150795,703152,0.611,111976,0.0973,2220,0.0019,221662,0.1926,1169,0.001
51061,Fauquier,Virginia,US,"Fauquier County, Virginia",38.73564842,-77.80647472,11,0,0,2.74,0.69,2.05,10890,34549,1.1,70675,60157,0.8512,4621,0.0654,380,0.0054,1236,0.0175,53,0.0007
51069,Frederick,Virginia,US,"Frederick County, Virginia",39.20172582,-78.25974949,31,0,0,2.68,0.68,2,13804,42214,0.3,88355,79864,0.9039,4033,0.0456,0,0,1653,0.0187,165,0.0019
51085,Hanover,Virginia,US,"Hanover County, Virginia",37.7583355,-77.49464673,13,0,0,2.68,0.68,2,17287,54227,0.3,107239,92553,0.8631,9340,0.0871,388,0.0036,2344,0.0219,199,0.0019
51087,Henrico,Virginia,US,"Henrico County, Virginia",37.53460572,-77.39326555,207,2,0,2.44,0.6,1.85,47493,167598,1.1,329261,184523,0.5604,94961,0.2884,701,0.0021,28428,0.0863,0,0
51095,James City,Virginia,US,"James City County, Virginia",37.31156958,-76.76950618,118,2,0,2.45,0.53,1.92,17930,33328,0.7,76397,60918,0.7974,11236,0.1471,0,0,1669,0.0218,63,0.0008
51107,Loudoun,Virginia,US,"Loudoun County, Virginia",39.08990083,-77.63481877,188,1,0,2.98,0.91,2.06,33265,205463,3.8,406850,257087,0.6319,28674,0.0705,1118,0.0027,77374,0.1902,301,0.0007
51121,Montgomery,Virginia,US,"Montgomery County, Virginia",37.17746986,-80.37868691,7,0,0,2.38,0.42,1.96,11648,44986,4.8,98985,84925,0.858,4448,0.0449,365,0.0037,7318,0.0739,70,0.0007
51153,Prince William,Virginia,US,"Prince William County, Virginia",38.70916224,-77.48713689,193,1,0,3.05,0.89,2.17,41803,235988,5,468011,273188,0.5837,97459,0.2082,1695,0.0036,38547,0.0824,178,0.0004
51161,Roanoke,Virginia,US,"Roanoke County, Virginia",37.26865804,-80.06396753,5,0,0,2.39,0.53,1.86,19088,45086,0.4,94073,81789,0.8694,4465,0.0475,62,0.0007,2307,0.0245,116,0.0012
51165,Rockingham,Virginia,US,"Rockingham County, Virginia",38.51006137,-78.87260325,15,0,0,2.57,0.62,1.95,14688,38221,0.1,81244,77185,0.95,2100,0.0258,0,0,413,0.0051,0,0
51177,Spotsylvania,Virginia,US,"Spotsylvania County, Virginia",38.18574462,-77.655399,26,0,0,2.91,0.81,2.09,17384,64764,2.7,134238,96410,0.7182,23160,0.1725,279,0.0021,3113,0.0232,67,0.0005
51179,Stafford,Virginia,US,"Stafford County, Virginia",38.41758738,-77.45917053,43,0,0,3,0.89,2.11,14086,72848,4.1,149960,97976,0.6533,26907,0.1794,245,0.0016,5958,0.0397,0,0
51199,York,Virginia,US,"York County, Virginia",37.24374789,-76.54412815,21,1,0,2.7,0.72,1.98,10313,33006,0.2,67846,50229,0.7403,9384,0.1383,74,0.0011,3184,0.0469,0,0
51510,Alexandria,Virginia,US,"Alexandria city, Virginia",38.814003,-77.08183073,93,0,0,2.03,0.35,1.68,16943,97680,20.7,160530,100922,0.6287,36569,0.2278,0,0,9090,0.0566,82,0.0005
51550,Chesapeake,Virginia,US,"Chesapeake city, Virginia",36.67670048,-76.30545744,77,0,0,2.75,0.72,2.02,29829,115605,0.5,242634,146670,0.6045,72849,0.3002,212,0.0009,9053,0.0373,128,0.0005
51650,Hampton,Virginia,US,"Hampton city, Virginia",37.03513786,-76.35879121,41,1,0,2.42,0.57,1.85,19719,65436,2.3,134313,55091,0.4102,67768,0.5046,317,0.0024,2668,0.0199,237,0.0018
51680,Lynchburg,Virginia,US,"Lynchburg city, Virginia",37.40021399,-79.19888138,11,0,0,2.3,0.51,1.78,11252,35066,3.3,82126,52897,0.6441,23311,0.2838,277,0.0034,1889,0.023,0,0
51700,Newport News,Virginia,US,"Newport News city, Virginia",37.08166899,-76.51754109,54,1,0,2.45,0.62,1.83,22294,87820,3.3,178626,85037,0.4761,75446,0.4224,126,0.0007,6400,0.0358,381,0.0021
51710,Norfolk,Virginia,US,"Norfolk city, Virginia",36.89934014,-76.26420872,60,0,0,2.43,0.58,1.84,25928,127830,3.5,244076,113964,0.4669,98688,0.4043,614,0.0025,9250,0.0379,211,0.0009
51740,Portsmouth,Virginia,US,"Portsmouth city, Virginia",36.85914825,-76.35971629,27,0,0,2.47,0.6,1.87,13553,43762,1.9,94632,37625,0.3976,47317,0.5,1554,0.0164,1429,0.0151,0,0
51760,Richmond City,Virginia,US,"Richmond city, Virginia",37.53255773,-77.47966921,105,0,0,2.2,0.43,1.76,27831,110257,5.4,228783,108092,0.4725,106543,0.4657,236,0.001,5502,0.024,0,0
51770,Roanoke City,Virginia,US,"Roanoke city, Virginia",37.27791025,-79.96189766,11,0,0,2.22,0.49,1.73,15805,46708,3.6,99920,61938,0.6199,29378,0.294,162,0.0016,3048,0.0305,0,0
51800,Suffolk,Virginia,US,"Suffolk city, Virginia",36.70155394,-76.63603554,28,0,0,2.7,0.72,1.99,12250,42830,0.2,91185,46485,0.5098,37311,0.4092,174,0.0019,1952,0.0214,0,0
51810,Virginia Beach,Virginia,US,"Virginia Beach city, Virginia",36.73285734,-76.04566934,178,1,0,2.6,0.64,1.96,59534,238409,0.9,450189,296395,0.6584,86768,0.1927,1861,0.0041,32129,0.0714,143,0.0003
53005,Benton,Washington,US,"Benton County, Washington",46.23946995,-119.5120834,175,17,0,2.66,0.73,1.93,27443,85156,0.9,201877,166821,0.8263,3534,0.0175,848,0.0042,5970,0.0296,199,0.001
53007,Chelan,Washington,US,"Chelan County, Washington",47.87046092,-120.6173956,29,3,0,2.57,0.65,1.92,13790,33989,1.2,77036,57505,0.7465,228,0.003,462,0.006,1100,0.0143,142,0.0018
53009,Clallam,Washington,US,"Clallam County, Washington",48.04754642,-123.9226319,8,0,0,2.22,0.41,1.81,20891,28367,0.8,76737,67645,0.8815,965,0.0126,3491,0.0455,1516,0.0198,6,0.0001
53011,Clark,Washington,US,"Clark County, Washington",45.77568046,-122.4829204,168,11,0,2.67,0.71,1.96,67720,216960,2.2,481857,406807,0.8442,7651,0.0159,3933,0.0082,20836,0.0432,4700,0.0098
53015,Cowlitz,Washington,US,"Cowlitz County, Washington",46.19074721,-122.6782231,18,0,0,2.51,0.61,1.9,19408,42614,0.2,108987,95325,0.8746,714,0.0066,3164,0.029,1376,0.0126,278,0.0026
53021,Franklin,Washington,US,"Franklin County, Washington",46.53351425,-118.9018212,64,2,0,3.28,1.15,2.13,7860,38870,0.7,94347,65677,0.6961,2772,0.0294,1747,0.0185,3043,0.0323,74,0.0008
53025,Grant,Washington,US,"Grant County, Washington",47.20753737,-119.4500749,88,2,0,2.93,0.9,2.02,12526,40375,2,97331,67489,0.6934,1036,0.0106,1189,0.0122,1161,0.0119,41,0.0004
53027,Grays Harbor,Washington,US,"Grays Harbor County, Washington",47.14003705,-123.7820567,6,0,0,2.45,0.55,1.9,14607,26808,0.9,73901,65300,0.8836,1120,0.0152,2922,0.0395,597,0.0081,154,0.0021
